fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,1d,95,240,233,35305,35055,34805,34555,34305,33985,33735,33485,33235,32985,32501,32189,31939,31689,31345,19,0,1
26,1f,80,1d,96,240,237,36343,36093,35843,35593,35305,35055,34805,34555,34305,33985,33735,33485,33235,32985,32501,19,0,1
26,1f,80,1d,96,240,242,37593,37343,37093,36843,36593,36343,36093,35843,35593,35305,35055,34805,34555,34305,33985,19,0,1
26,1f,80,1d,96,240,246,38661,38353,38103,37853,37593,37343,37093,36843,36593,36343,36093,35843,35593,35305,35055,19,0,1
26,1f,80,1d,97,240,249,39493,39243,38993,38661,38353,38103,37853,37593,37343,37093,36843,36593,36343,36093,35843,19,0,1
26,1f,80,1d,99,240,254,40743,40493,40243,39993,39743,39493,39243,38993,38661,38353,38103,37853,37593,37343,37093,19,0,1
26,1f,80,1d,100,240,2,41841,41591,41341,41091,40743,40493,40243,39993,39743,39493,39243,38993,38661,38353,38103,19,0,1
26,1f,80,1d,98,240,6,42841,42591,42341,42091,41841,41591,41341,41091,40743,40493,40243,39993,39743,39493,39243,19,0,1
26,1f,80,1d,96,240,11,44091,43841,43591,43341,43091,42841,42591,42341,42091,41841,41591,41341,41091,40743,40493,19,0,1
26,1f,80,1d,95,240,15,45091,44841,44591,44341,44091,43841,43591,43341,43091,42841,42591,42341,42091,41841,41591,19,0,1
26,1f,80,1d,98,240,20,46341,46091,45841,45591,45341,45091,44841,44591,44341,44091,43841,43591,43341,43091,42841,19,0,1
26,1f,80,1d,94,240,24,47341,47091,46841,46591,46341,46091,45841,45591,45341,45091,44841,44591,44341,44091,43841,19,0,1
26,1f,80,1d,95,240,29,48591,48341,48091,47841,47591,47341,47091,46841,46591,46341,46091,45841,45591,45341,45091,19,0,1
26,1f,80,1d,95,240,34,49841,49591,49341,49091,48841,48591,48341,48091,47841,47591,47341,47091,46841,46591,46341,19,0,1
26,1f,80,1d,94,240,38,50841,50591,50341,50091,49841,49591,49341,49091,48841,48591,48341,48091,47841,47591,47341,19,0,1
26,1f,80,1d,94,240,43,52091,51841,51591,51341,51091,50841,50591,50341,50091,49841,49591,49341,49091,48841,48591,19,0,1
26,1f,80,1d,92,240,47,53091,52841,52591,52341,52091,51841,51591,51341,51091,50841,50591,50341,50091,49841,49591,19,0,1
26,1f,80,1d,93,240,52,54341,54091,53841,53591,53341,53091,52841,52591,52341,52091,51841,51591,51341,51091,50841,19,0,1
26,1f,80,1d,93,240,54,54951,54591,54341,54091,53841,53591,53341,53091,52841,52591,52341,52091,51841,51591,51341,19,0,1
26,1f,80,1d,93,240,55,55691,54951,54591,54341,54091,53841,53591,53341,53091,52841,52591,52341,52091,51841,51591,19,0,1
26,1f,80,1d,94,240,58,57065,56815,56411,55691,54951,54591,54341,54091,53841,53591,53341,53091,52841,52591,52341,19,0,1
26,1f,80,1d,95,239,59,57953,57065,56815,56411,55691,54951,54591,54341,54091,53841,53591,53341,53091,52841,52591,19,0,1
26,1f,80,1d,96,239,61,59117,58721,57953,57065,56815,56411,55691,54951,54591,54341,54091,53841,53591,53341,53091,19,0,1
26,1f,80,1d,95,239,63,60261,59445,59117,58721,57953,57065,56815,56411,55691,54951,54591,54341,54091,53841,53591,19,0,1
26,1f,80,1d,95,239,65,61205,60925,60261,59445,59117,58721,57953,57065,56815,56411,55691,54951,54591,54341,54091,19,0,1
26,1f,80,1d,95,238,70,62469,62219,61969,61719,61469,61205,60925,60261,59445,59117,58721,57953,57065,56815,56411,19,0,1
26,1f,80,1d,97,238,74,63519,63269,63019,62769,62469,62219,61969,61719,61469,61205,60925,60261,59445,59117,58721,19,0,1
26,1f,80,1d,97,239,78,64519,64269,64019,63769,63519,63269,63019,62769,62469,62219,61969,61719,61469,61205,60925,19,0,1
26,1f,80,1d,100,239,82,65,65351,65019,64769,64519,64269,64019,63769,63519,63269,63019,62769,62469,62219,61969,19,0,1
26,1f,80,1d,100,239,86,1065,815,565,315,65,65351,65019,64769,64519,64269,64019,63769,63519,63269,63019,19,0,1
26,1f,80,1d,98,239,88,2037,1697,1065,815,565,315,65,65351,65019,64769,64519,64269,64019,63769,63519,19,0,1
26,1f,80,1d,95,239,91,3277,2749,2489,2037,1697,1065,815,565,315,65,65351,65019,64769,64519,64269,19,0,1
26,1f,80,1d,93,239,94,4211,3961,3569,3277,2749,2489,2037,1697,1065,815,565,315,65,65351,65019,19,0,1
26,1f,80,1d,96,239,98,5337,4961,4711,4461,4211,3961,3569,3277,2749,2489,2037,1697,1065,815,565,19,0,1
26,1f,80,1d,93,239,102,6469,6219,5969,5709,5337,4961,4711,4461,4211,3961,3569,3277,2749,2489,2037,19,0,1
26,1f,80,1d,93,239,106,7469,7219,6969,6719,6469,6219,5969,5709,5337,4961,4711,4461,4211,3961,3569,19,0,1
26,1f,80,1d,92,239,111,8719,8469,8219,7969,7719,7469,7219,6969,6719,6469,6219,5969,5709,5337,4961,19,0,1
26,1f,80,1d,88,239,115,9719,9469,9219,8969,8719,8469,8219,7969,7719,7469,7219,6969,6719,6469,6219,19,0,1
26,1f,80,1d,89,239,120,10969,10719,10469,10219,9969,9719,9469,9219,8969,8719,8469,8219,7969,7719,7469,19,0,1
26,1f,80,1d,90,239,124,12051,11801,11469,11219,10969,10719,10469,10219,9969,9719,9469,9219,8969,8719,8469,19,0,1
26,1f,80,1d,92,239,127,13001,12601,12301,12051,11801,11469,11219,10969,10719,10469,10219,9969,9719,9469,9219,19,0,1
26,1f,80,1d,94,239,130,13933,13681,13329,13001,12601,12301,12051,11801,11469,11219,10969,10719,10469,10219,9969,19,0,1
26,1f,80,1d,94,239,135,15213,14963,14713,14463,14213,13933,13681,13329,13001,12601,12301,12051,11801,11469,11219,19,0,1
26,1f,80,1d,98,239,139,16213,15963,15713,15463,15213,14963,14713,14463,14213,13933,13681,13329,13001,12601,12301,19,0,1
26,1f,80,1d,96,239,144,17463,17213,16963,16713,16463,16213,15963,15713,15463,15213,14963,14713,14463,14213,13933,19,0,1
26,1f,80,1d,98,239,148,18463,18213,17963,17713,17463,17213,16963,16713,16463,16213,15963,15713,15463,15213,14963,19,0,1
26,1f,80,1d,100,239,153,19713,19463,19213,18963,18713,18463,18213,17963,17713,17463,17213,16963,16713,16463,16213,19,0,1
26,1f,80,1d,100,239,157,20713,20463,20213,19963,19713,19463,19213,18963,18713,18463,18213,17963,17713,17463,17213,19,0,1
26,1f,80,1d,100,239,161,21715,21465,21215,20963,20713,20463,20213,19963,19713,19463,19213,18963,18713,18463,18213,19,0,1
26,1f,80,1d,97,239,166,22965,22715,22465,22215,21965,21715,21465,21215,20963,20713,20463,20213,19963,19713,19463,19,0,1
26,1f,80,1d,98,240,170,23965,23715,23465,23215,22965,22715,22465,22215,21965,21715,21465,21215,20963,20713,20463,19,0,1
26,1f,80,1d,96,240,175,25253,25003,24715,24465,24215,23965,23715,23465,23215,22965,22715,22465,22215,21965,21715,19,0,1
26,1f,80,1d,94,240,179,26253,26003,25753,25503,25253,25003,24715,24465,24215,23965,23715,23465,23215,22965,22715,19,0,1
26,1f,80,1d,94,240,183,27283,27033,26783,26503,26253,26003,25753,25503,25253,25003,24715,24465,24215,23965,23715,19,0,1
26,1f,80,1d,94,240,188,28535,28285,28035,27785,27533,27283,27033,26783,26503,26253,26003,25753,25503,25253,25003,19,0,1
26,1f,80,1d,93,240,192,29617,29285,29035,28785,28535,28285,28035,27785,27533,27283,27033,26783,26503,26253,26003,19,0,1
26,1f,80,1d,90,240,196,30617,30367,30117,29867,29617,29285,29035,28785,28535,28285,28035,27785,27533,27283,27033,19,0,1
26,1f,80,1d,89,240,201,31885,31635,31367,31117,30867,30617,30367,30117,29867,29617,29285,29035,28785,28535,28285,19,0,1
26,1f,80,1d,91,240,205,32931,32681,32385,32135,31885,31635,31367,31117,30867,30617,30367,30117,29867,29617,29285,19,0,1
26,1f,80,1d,91,240,209,34021,33771,33521,33181,32931,32681,32385,32135,31885,31635,31367,31117,30867,30617,30367,19,0,1
26,1f,80,1d,92,240,213,35035,34785,34535,34285,34021,33771,33521,33181,32931,32681,32385,32135,31885,31635,31367,19,0,1
26,1f,80,1d,93,240,218,36287,36035,35785,35535,35285,35035,34785,34535,34285,34021,33771,33521,33181,32931,32681,19,0,1
26,1f,80,1d,94,240,221,37167,36787,36537,36287,36035,35785,35535,35285,35035,34785,34535,34285,34021,33771,33521,19,0,1
26,1f,80,1d,96,240,225,38269,38019,37769,37519,37167,36787,36537,36287,36035,35785,35535,35285,35035,34785,34535,19,0,1
26,1f,80,1d,97,240,230,39519,39269,39019,38769,38519,38269,38019,37769,37519,37167,36787,36537,36287,36035,35785,19,0,1
26,1f,80,1d,97,240,234,40581,40331,40081,39831,39519,39269,39019,38769,38519,38269,38019,37769,37519,37167,36787,19,0,1
26,1f,80,1d,95,240,236,41111,40861,40581,40331,40081,39831,39519,39269,39019,38769,38519,38269,38019,37769,37519,19,0,1
26,1f,80,1d,94,240,239,42363,41959,41695,41111,40861,40581,40331,40081,39831,39519,39269,39019,38769,38519,38269,19,0,1
26,1f,80,1d,97,239,242,43615,43263,42683,42363,41959,41695,41111,40861,40581,40331,40081,39831,39519,39269,39019,19,0,1
26,1f,80,1d,98,239,244,44355,44087,43615,43263,42683,42363,41959,41695,41111,40861,40581,40331,40081,39831,39519,19,0,1
26,1f,80,1d,94,239,246,45279,44875,44355,44087,43615,43263,42683,42363,41959,41695,41111,40861,40581,40331,40081,19,0,1
26,1f,80,1d,96,238,250,46469,46219,45969,45719,45279,44875,44355,44087,43615,43263,42683,42363,41959,41695,41111,19,0,1
26,1f,80,1d,93,238,255,47751,47501,47249,46999,46749,46469,46219,45969,45719,45279,44875,44355,44087,43615,43263,19,0,1
